text,field,word,frequency,relative_frequency
eneida,alcohol_and_banquets,пили,15,0.7406310176270182
eneida,alcohol_and_banquets,пить,6,0.2962524070508073
eneida,alcohol_and_banquets,брагу,6,0.2962524070508073
eneida,alcohol_and_banquets,сивуху,5,0.24687700587567274
eneida,alcohol_and_banquets,пила,5,0.24687700587567274
eneida,alcohol_and_banquets,питъ,5,0.24687700587567274
eneida,alcohol_and_banquets,пьяны,4,0.1975016047005382
eneida,alcohol_and_banquets,хмелю,4,0.1975016047005382
eneida,alcohol_and_banquets,сивухи,4,0.1975016047005382
eneida,alcohol_and_banquets,гуляли,4,0.1975016047005382
eneida,alcohol_and_banquets,горілку,4,0.1975016047005382
eneida,alcohol_and_banquets,вина,4,0.1975016047005382
eneida,alcohol_and_banquets,галушки,3,0.14812620352540365
eneida,alcohol_and_banquets,танець,3,0.14812620352540365
eneida,alcohol_and_banquets,макогона,3,0.14812620352540365
eneida,alcohol_and_banquets,закуску,3,0.14812620352540365
eneida,alcohol_and_banquets,пиво,3,0.14812620352540365
eneida,alcohol_and_banquets,гулять,3,0.14812620352540365
eneida,alcohol_and_banquets,пьяный,3,0.14812620352540365
eneida,alcohol_and_banquets,вечерници,3,0.14812620352540365
eneida,alcohol_and_banquets,сивушки,3,0.14812620352540365
eneida,alcohol_and_banquets,пяний,3,0.14812620352540365
eneida,alcohol_and_banquets,пшона,3,0.14812620352540365
eneida,alcohol_and_banquets,пє,3,0.14812620352540365
eneida,alcohol_and_banquets,пяні,3,0.14812620352540365
eneida,alcohol_and_banquets,вишнивку,2,0.0987508023502691
eneida,alcohol_and_banquets,бенкетовать,2,0.0987508023502691
eneida,alcohol_and_banquets,кабака,2,0.0987508023502691
eneida,alcohol_and_banquets,сивуха,2,0.0987508023502691
eneida,alcohol_and_banquets,напившись,2,0.0987508023502691
eneida,alcohol_and_banquets,пьянюги,2,0.0987508023502691
eneida,alcohol_and_banquets,горілка,2,0.0987508023502691
eneida,alcohol_and_banquets,напитись,2,0.0987508023502691
eneida,alcohol_and_banquets,могорич,2,0.0987508023502691
eneida,alcohol_and_banquets,похмілля,2,0.0987508023502691
eneida,alcohol_and_banquets,пити,2,0.0987508023502691
eneida,alcohol_and_banquets,бражкой,1,0.04937540117513455
eneida,alcohol_and_banquets,запивать,1,0.04937540117513455
eneida,alcohol_and_banquets,хлыстали,1,0.04937540117513455
eneida,alcohol_and_banquets,зъзастола,1,0.04937540117513455
eneida,alcohol_and_banquets,допивши,1,0.04937540117513455
eneida,alcohol_and_banquets,кубками,1,0.04937540117513455
eneida,alcohol_and_banquets,бражку,1,0.04937540117513455
eneida,alcohol_and_banquets,тернивку,1,0.04937540117513455
eneida,alcohol_and_banquets,пилась,1,0.04937540117513455
eneida,alcohol_and_banquets,вечирницамъ,1,0.04937540117513455
eneida,alcohol_and_banquets,пьешъ,1,0.04937540117513455
eneida,alcohol_and_banquets,кахляхъ,1,0.04937540117513455
eneida,alcohol_and_banquets,налыгався,1,0.04937540117513455
eneida,alcohol_and_banquets,нахлыстався,1,0.04937540117513455
eneida,alcohol_and_banquets,пидпилый,1,0.04937540117513455
eneida,alcohol_and_banquets,бражки,1,0.04937540117513455
eneida,alcohol_and_banquets,повныи,1,0.04937540117513455
eneida,alcohol_and_banquets,ваганы,1,0.04937540117513455
eneida,alcohol_and_banquets,нахлистались,1,0.04937540117513455
eneida,alcohol_and_banquets,зъзастолу,1,0.04937540117513455
eneida,alcohol_and_banquets,протверезився,1,0.04937540117513455
eneida,alcohol_and_banquets,выпивъ,1,0.04937540117513455
eneida,alcohol_and_banquets,пивквартивки,1,0.04937540117513455
eneida,alcohol_and_banquets,имберомъ,1,0.04937540117513455
eneida,alcohol_and_banquets,кухля,1,0.04937540117513455
eneida,alcohol_and_banquets,сыровцю,1,0.04937540117513455
eneida,alcohol_and_banquets,пьяну,1,0.04937540117513455
eneida,alcohol_and_banquets,напьюсь,1,0.04937540117513455
eneida,alcohol_and_banquets,пьяненьки,1,0.04937540117513455
eneida,alcohol_and_banquets,понадувались,1,0.04937540117513455
eneida,alcohol_and_banquets,напивсь,1,0.04937540117513455
eneida,alcohol_and_banquets,кружку,1,0.04937540117513455
eneida,alcohol_and_banquets,попивали,1,0.04937540117513455
eneida,alcohol_and_banquets,пьяненька,1,0.04937540117513455
eneida,alcohol_and_banquets,чарочку,1,0.04937540117513455
eneida,alcohol_and_banquets,наливъ,1,0.04937540117513455
eneida,alcohol_and_banquets,почастовавши,1,0.04937540117513455
eneida,alcohol_and_banquets,сивушкою,1,0.04937540117513455
eneida,alcohol_and_banquets,почастовавсь,1,0.04937540117513455
eneida,alcohol_and_banquets,галушокъ,1,0.04937540117513455
eneida,alcohol_and_banquets,настоянную,1,0.04937540117513455
eneida,alcohol_and_banquets,бадянъ,1,0.04937540117513455
eneida,alcohol_and_banquets,пивцемъ,1,0.04937540117513455
eneida,alcohol_and_banquets,запивали,1,0.04937540117513455
eneida,alcohol_and_banquets,веселися,1,0.04937540117513455
eneida,alcohol_and_banquets,первак,1,0.04937540117513455
eneida,alcohol_and_banquets,грушевий,1,0.04937540117513455
eneida,alcohol_and_banquets,повипивали,1,0.04937540117513455
eneida,alcohol_and_banquets,горілки,1,0.04937540117513455
eneida,alcohol_and_banquets,пляшечки,1,0.04937540117513455
eneida,alcohol_and_banquets,сулії,1,0.04937540117513455
eneida,alcohol_and_banquets,тикви,1,0.04937540117513455
eneida,alcohol_and_banquets,баклажки,1,0.04937540117513455
eneida,alcohol_and_banquets,висушили,1,0.04937540117513455
eneida,alcohol_and_banquets,остатку,1,0.04937540117513455
eneida,alcohol_and_banquets,похмелялись,1,0.04937540117513455
eneida,alcohol_and_banquets,кубочки,1,0.04937540117513455
eneida,alcohol_and_banquets,наливши,1,0.04937540117513455
eneida,alcohol_and_banquets,запили,1,0.04937540117513455
eneida,alcohol_and_banquets,хмеля,1,0.04937540117513455
eneida,alcohol_and_banquets,пивце,1,0.04937540117513455
eneida,alcohol_and_banquets,винце,1,0.04937540117513455
eneida,alcohol_and_banquets,медок,1,0.04937540117513455
eneida,alcohol_and_banquets,сикизку,1,0.04937540117513455
eneida,alcohol_and_banquets,деренівку,1,0.04937540117513455
eneida,alcohol_and_banquets,кримську,1,0.04937540117513455
eneida,alcohol_and_banquets,дулівку,1,0.04937540117513455
eneida,alcohol_and_banquets,айвовкою,1,0.04937540117513455
eneida,alcohol_and_banquets,оріхів,1,0.04937540117513455
eneida,alcohol_and_banquets,варенухою,1,0.04937540117513455
eneida,alcohol_and_banquets,пуншу,1,0.04937540117513455
eneida,alcohol_and_banquets,хлись,1,0.04937540117513455
eneida,alcohol_and_banquets,пляшки,1,0.04937540117513455
eneida,alcohol_and_banquets,чарочки,1,0.04937540117513455
eneida,food_and_meals,сала,5,0.24687700587567274
eneida,food_and_meals,мед,5,0.24687700587567274
eneida,food_and_meals,раки,4,0.1975016047005382
eneida,food_and_meals,бикъ,4,0.1975016047005382
eneida,food_and_meals,печі,4,0.1975016047005382
eneida,food_and_meals,сухарями,3,0.14812620352540365
eneida,food_and_meals,олію,3,0.14812620352540365
eneida,food_and_meals,посуду,3,0.14812620352540365
eneida,food_and_meals,кислици,3,0.14812620352540365
eneida,food_and_meals,соли,3,0.14812620352540365
eneida,food_and_meals,слина,3,0.14812620352540365
eneida,food_and_meals,ковбаси,3,0.14812620352540365
eneida,food_and_meals,їсти,3,0.14812620352540365
eneida,food_and_meals,стіл,3,0.14812620352540365
eneida,food_and_meals,шмат,3,0.14812620352540365
eneida,food_and_meals,овець,3,0.14812620352540365
eneida,food_and_meals,смачно,3,0.14812620352540365
eneida,food_and_meals,локшив,3,0.14812620352540365
eneida,food_and_meals,яєшню,3,0.14812620352540365
eneida,food_and_meals,голодный,2,0.0987508023502691
eneida,food_and_meals,кашу,2,0.0987508023502691
eneida,food_and_meals,медъ,2,0.0987508023502691
eneida,food_and_meals,сыровець,2,0.0987508023502691
eneida,food_and_meals,ситы,2,0.0987508023502691
eneida,food_and_meals,мясо,2,0.0987508023502691
eneida,food_and_meals,бублики,2,0.0987508023502691
eneida,food_and_meals,меду,2,0.0987508023502691
eneida,food_and_meals,страву,2,0.0987508023502691
eneida,food_and_meals,борщу,2,0.0987508023502691
eneida,food_and_meals,пшеничны,2,0.0987508023502691
eneida,food_and_meals,сало,2,0.0987508023502691
eneida,food_and_meals,маслаки,2,0.0987508023502691
eneida,food_and_meals,квас,2,0.0987508023502691
eneida,food_and_meals,поживиться,2,0.0987508023502691
eneida,food_and_meals,хлібом,2,0.0987508023502691
eneida,food_and_meals,сіллю,2,0.0987508023502691
eneida,food_and_meals,хлібасоли,2,0.0987508023502691
